day,district,description,rooms,m2,bathrooms,price,links,house_id,m2-€
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat viale Umbria 15, Porta Romana - Medaglie d'Oro, Milan",4.0,110.0,1.0,786000.0,https://www.immobiliare.it/en/annunci/108591827/,108591827,7145.454545454545
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Adige, Porta Romana - Medaglie d'Oro, Milan",2.0,60.0,1.0,475000.0,https://www.immobiliare.it/en/annunci/108602363/,108602363,7916.666666666667
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat viale Isonzo, Ripamonti, Milan",4.0,85.0,2.0,495000.0,https://www.immobiliare.it/en/annunci/108572097/,108572097,5823.529411764706
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Lodovico Muratori 11, Porta Romana - Medaglie d'Oro, Milan",4.0,105.0,1.0,870000.0,https://www.immobiliare.it/en/annunci/108570867/,108570867,8285.714285714286
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat new, ground floor, Porta Romana - Medaglie d'Oro, Milan",2.0,38.0,1.0,300000.0,https://www.immobiliare.it/en/annunci/108579663/,108579663,7894.736842105263
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Trebbia 33, Porta Romana - Medaglie d'Oro, Milan",2.0,42.0,1.0,319000.0,https://www.immobiliare.it/en/annunci/108545003/,108545003,7595.238095238095
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Carlo Botta, Porta Romana - Medaglie d'Oro, Milan",2.0,40.0,1.0,310000.0,https://www.immobiliare.it/en/annunci/108542221/,108542221,7750.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat excellent condition, mezzanine, Porta Romana - Medaglie d'Oro, Milan",2.0,66.0,1.0,415000.0,https://www.immobiliare.it/en/annunci/108550993/,108550993,6287.878787878788
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Emilio Caldara 6, Porta Romana - Medaglie d'Oro, Milan",2.0,55.0,1.0,399000.0,https://www.immobiliare.it/en/annunci/108544995/,108544995,7254.545454545455
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Emilio Caldara 6, Porta Romana - Medaglie d'Oro, Milan",2.0,50.0,1.0,399000.0,https://www.immobiliare.it/en/annunci/108544993/,108544993,7980.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale viale SABOTINO, Porta Romana - Medaglie d'Oro, Milan",2.0,52.0,1.0,360000.0,https://www.immobiliare.it/en/annunci/108509679/,108509679,6923.076923076923
2024-01-13,porta-romana-medaglie-d-oro,"Studio via Tito Livio 2, Lodi - Brenta, Milan",1.0,41.0,1.0,250000.0,https://www.immobiliare.it/en/annunci/108500777/,108500777,6097.5609756097565
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",3.0,80.0,1.0,564000.0,https://www.immobiliare.it/en/annunci/108478271/,108478271,7050.0
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",3.0,85.0,1.0,535000.0,https://www.immobiliare.it/en/annunci/108478199/,108478199,6294.117647058823
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Friuli 3, Porta Romana - Medaglie d'Oro, Milan",2.0,60.0,1.0,460000.0,https://www.immobiliare.it/en/annunci/108450369/,108450369,7666.666666666667
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Verona 5, Porta Romana - Medaglie d'Oro, Milan",2.0,69.0,1.0,599000.0,https://www.immobiliare.it/en/annunci/108443129/,108443129,8681.159420289856
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Carlo Botta 39, Porta Romana - Medaglie d'Oro, Milan",2.0,68.0,1.0,380000.0,https://www.immobiliare.it/en/annunci/108443899/,108443899,5588.235294117647
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Umbria 21, Porta Romana - Medaglie d'Oro, Milan",3.0,65.0,1.0,475000.0,https://www.immobiliare.it/en/annunci/108408641/,108408641,7307.692307692308
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via Atto Vannucci 5, Porta Romana - Medaglie d'Oro, Milan",3.0,73.0,1.0,480000.0,https://www.immobiliare.it/en/annunci/108415467/,108415467,6575.342465753424
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Piacenza 9, Porta Romana - Medaglie d'Oro, Milan",4.0,110.0,2.0,890000.0,https://www.immobiliare.it/en/annunci/108412425/,108412425,8090.909090909091
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat piazzale Medaglie d'Oro, Porta Romana - Medaglie d'Oro, Milan",4.0,175.0,2.0,795000.0,https://www.immobiliare.it/en/annunci/108398805/,108398805,4542.857142857143
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Friuli 23, Porta Romana - Medaglie d'Oro, Milan",2.0,38.0,1.0,310000.0,https://www.immobiliare.it/en/annunci/108351503/,108351503,8157.894736842105
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Carlo Botta 39, Porta Romana - Medaglie d'Oro, Milan",2.0,68.0,1.0,380000.0,https://www.immobiliare.it/en/annunci/108443845/,108443845,5588.235294117647
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Pietro Colletta, Porta Romana - Medaglie d'Oro, Milan",2.0,40.0,1.0,300000.0,https://www.immobiliare.it/en/annunci/108353367/,108353367,7500.0
2024-01-13,porta-romana-medaglie-d-oro,"Penthouse viale Monte Nero, Montenero, Milan",4.0,140.0,2.0,1100000.0,https://www.immobiliare.it/en/annunci/108337689/,108337689,7857.142857142857
2024-01-13,porta-romana-medaglie-d-oro,"Apartment via Adige, Porta Romana - Medaglie d'Oro, Milan",5.0,283.0,3.0,1690000.0,https://www.immobiliare.it/en/annunci/108317131/,108317131,5971.731448763251
2024-01-13,porta-romana-medaglie-d-oro,"Apartment via Lodovico Muratori 13, Porta Romana - Medaglie d'Oro, Milan",5.0,130.0,2.0,1195000.0,https://www.immobiliare.it/en/annunci/108591179/,108591179,9192.307692307691
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via Lazzaro Papi, Porta Romana - Medaglie d'Oro, Milan",3.0,105.0,2.0,825000.0,https://www.immobiliare.it/en/annunci/108253043/,108253043,7857.142857142857
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Pietro Colletta, Porta Romana - Medaglie d'Oro, Milan",4.0,150.0,2.0,1200000.0,https://www.immobiliare.it/en/annunci/108252481/,108252481,8000.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Pietro Colletta 18, Porta Romana - Medaglie d'Oro, Milan",2.0,65.0,1.0,450000.0,https://www.immobiliare.it/en/annunci/108229415/,108229415,6923.076923076923
2024-01-13,porta-romana-medaglie-d-oro,"Loft via Lodovico Muratori 55, Porta Romana - Medaglie d'Oro, Milan",2.0,51.0,1.0,295000.0,https://www.immobiliare.it/en/annunci/108207411/,108207411,5784.313725490196
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Crema 29, Porta Romana - Medaglie d'Oro, Milan",2.0,70.0,2.0,,https://www.immobiliare.it/en/annunci/108499931/,108499931,
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Friuli 23, Porta Romana - Medaglie d'Oro, Milan",2.0,40.0,1.0,320000.0,https://www.immobiliare.it/en/annunci/108153817/,108153817,8000.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Lodovico Muratori 42, Porta Romana - Medaglie d'Oro, Milan",2.0,75.0,1.0,520000.0,https://www.immobiliare.it/en/annunci/108115699/,108115699,6933.333333333333
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Passo Buole, Porta Romana - Medaglie d'Oro, Milan",2.0,51.0,4.0,359000.0,https://www.immobiliare.it/en/annunci/108129175/,108129175,7039.21568627451
2024-01-13,porta-romana-medaglie-d-oro,"Apartment viale Sabotino 19/2, Porta Romana - Medaglie d'Oro, Milan",5.0,245.0,2.0,2550000.0,https://www.immobiliare.it/en/annunci/108094879/,108094879,10408.163265306122
2024-01-13,porta-romana-medaglie-d-oro,"Apartment viale Sabotino 19/2, Porta Romana - Medaglie d'Oro, Milan",5.0,233.0,2.0,2450000.0,https://www.immobiliare.it/en/annunci/108089015/,108089015,10515.021459227468
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",3.0,105.0,2.0,590000.0,https://www.immobiliare.it/en/annunci/108101521/,108101521,5619.047619047619
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Emilio Caldara 23, Quadronno - Crocetta, Milan",3.0,85.0,2.0,360000.0,https://www.immobiliare.it/en/annunci/108090635/,108090635,4235.294117647059
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Crema 17, Porta Romana - Medaglie d'Oro, Milan",4.0,95.0,1.0,635000.0,https://www.immobiliare.it/en/annunci/108033625/,108033625,6684.210526315789
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",2.0,45.0,1.0,350000.0,https://www.immobiliare.it/en/annunci/108010545/,108010545,7777.777777777777
