day,district,description,rooms,m2,bathrooms,price,links,house_id
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Carlo Botta 39, Porta Romana - Medaglie d'Oro, Milan",2,68m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/108346881/,
2023-12-29,porta-romana-medaglie-d-oro,"Penthouse viale Monte Nero, Montenero, Milan",4,140m²,2,"€ 1,100,000",https://www.immobiliare.it/en/annunci/108337689/,
2023-12-29,porta-romana-medaglie-d-oro,"Apartment via Adige, Porta Romana - Medaglie d'Oro, Milan",5,283m²,3+,"€ 1,690,000",https://www.immobiliare.it/en/annunci/108317131/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Carlo Botta 39, Porta Romana - Medaglie d'Oro, Milan",2,68m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/108346869/,
2023-12-29,porta-romana-medaglie-d-oro,"4-room flat via Pietro Colletta, Porta Romana - Medaglie d'Oro, Milan",4,150m²,2,"€ 1,200,000",https://www.immobiliare.it/en/annunci/108252481/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat via Lazzaro Papi, Porta Romana - Medaglie d'Oro, Milan",3,105m²,2,"€ 825,000",https://www.immobiliare.it/en/annunci/108253043/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Pietro Colletta 18, Porta Romana - Medaglie d'Oro, Milan",2,65m²,1,"€ 450,000",https://www.immobiliare.it/en/annunci/108229415/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Carlo Botta, Porta Romana - Medaglie d'Oro, Milan",2,40m²,1,"€ 225,000",https://www.immobiliare.it/en/annunci/108234033/,
2023-12-29,porta-romana-medaglie-d-oro,"Loft via Lodovico Muratori 55, Porta Romana - Medaglie d'Oro, Milan",2,51m²,1,"€ 295,000",https://www.immobiliare.it/en/annunci/108207411/,
2023-12-29,porta-romana-medaglie-d-oro,"4-room flat via Sassoferrato 2, Porta Romana - Medaglie d'Oro, Milan",4,110m²,2,"€ 695,000",https://www.immobiliare.it/en/annunci/108200877/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Crema 29, Porta Romana - Medaglie d'Oro, Milan",2,70m²,2,"€ 600,000",https://www.immobiliare.it/en/annunci/108210285/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Friuli 23, Porta Romana - Medaglie d'Oro, Milan",2,40m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/108153817/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Lodovico Muratori 42, Porta Romana - Medaglie d'Oro, Milan",2,75m²,1,"€ 520,000",https://www.immobiliare.it/en/annunci/108115699/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Passo Buole, Porta Romana - Medaglie d'Oro, Milan",2,51m²,4,"€ 359,000",https://www.immobiliare.it/en/annunci/108129175/,
2023-12-29,porta-romana-medaglie-d-oro,"Apartment viale Sabotino 12/a, Porta Romana - Medaglie d'Oro, Milan",5+,245m²,2,"€ 2,550,000",https://www.immobiliare.it/en/annunci/108094879/,
2023-12-29,porta-romana-medaglie-d-oro,"Apartment viale Sabotino 19/2, Porta Romana - Medaglie d'Oro, Milan",5+,233m²,2,"€ 2,450,000",https://www.immobiliare.it/en/annunci/108089015/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat viale Emilio Caldara 23, Quadronno - Crocetta, Milan",3,85m²,2,"€ 360,000",https://www.immobiliare.it/en/annunci/108090635/,
2023-12-29,porta-romana-medaglie-d-oro,"3-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",3,105m²,2,"€ 590,000",https://www.immobiliare.it/en/annunci/108101521/,
2023-12-29,porta-romana-medaglie-d-oro,"4-room flat via Crema 17, Porta Romana - Medaglie d'Oro, Milan",4,95m²,1,"€ 635,000",https://www.immobiliare.it/en/annunci/108033625/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",2,45m²,1,"€ 350,000",https://www.immobiliare.it/en/annunci/108010545/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Mantova, Porta Romana - Medaglie d'Oro, Milan",2,85m²,1,"€ 540,000",https://www.immobiliare.it/en/annunci/108306089/,
2023-12-29,porta-romana-medaglie-d-oro,"2-room flat via Atto Vannucci, Porta Romana - Medaglie d'Oro, Milan",2,80m²,1,"€ 546,000",https://www.immobiliare.it/en/annunci/108305527/,
