,day,description,rooms,m2,bathrooms,price,links
0,2023-12-29,"2-room flat via Carlo Botta 39, Porta Romana - Medaglie d'Oro, Milan",2,68m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/108346881/
1,2023-12-29,"Penthouse viale Monte Nero, Montenero, Milan",4,140m²,2,"€ 1,100,000",https://www.immobiliare.it/en/annunci/108337689/
2,2023-12-29,"Loft viale Umbria, Martini - Insubria, Milan",1,60m²,1,"€ 290,000",https://www.immobiliare.it/en/annunci/108340651/
3,2023-12-29,"Apartment via Adige, Porta Romana - Medaglie d'Oro, Milan",5,283m²,3+,"€ 1,690,000",https://www.immobiliare.it/en/annunci/108317131/
4,2023-12-29,"2-room flat viale Umbria 58, Martini - Insubria, Milan",2,42m²,1,"€ 315,000",https://www.immobiliare.it/en/annunci/108316261/
5,2023-12-29,"2-room flat via Carlo Botta 39, Porta Romana - Medaglie d'Oro, Milan",2,68m²,1,"€ 399,000",https://www.immobiliare.it/en/annunci/108346869/
6,2023-12-29,"2-room flat viale Umbria 64, Martini - Insubria, Milan",2,61m²,1,"€ 272,000",https://www.immobiliare.it/en/annunci/108276083/
7,2023-12-29,"Apartment via Maestri Campionesi, 15, Cadore, Milan",5,190m²,3,"€ 2,100,000",https://www.immobiliare.it/en/annunci/108282709/
8,2023-12-29,"3-room flat viale Monte Nero, Montenero, Milan",3,90m²,1,"€ 530,000",https://www.immobiliare.it/en/annunci/108258673/
9,2023-12-29,"2-room flat via Perugino, Cadore, Milan",2,40m²,1,"€ 375,000",https://www.immobiliare.it/en/annunci/108250303/
10,2023-12-29,"3-room flat via Amatore Antonio Sciesa, Montenero, Milan",3,90m²,1,"€ 549,000",https://www.immobiliare.it/en/annunci/108254627/
11,2023-12-29,"4-room flat via Pietro Colletta, Porta Romana - Medaglie d'Oro, Milan",4,150m²,2,"€ 1,200,000",https://www.immobiliare.it/en/annunci/108252481/
12,2023-12-29,"3-room flat via Lazzaro Papi, Porta Romana - Medaglie d'Oro, Milan",3,105m²,2,"€ 825,000",https://www.immobiliare.it/en/annunci/108253043/
13,2023-12-29,"2-room flat via Pietro Colletta 18, Porta Romana - Medaglie d'Oro, Milan",2,65m²,1,"€ 450,000",https://www.immobiliare.it/en/annunci/108229415/
14,2023-12-29,"2-room flat viale Monte Nero, Montenero, Milan",2,50m²,1,"€ 375,000",https://www.immobiliare.it/en/annunci/108233895/
15,2023-12-29,"2-room flat via Carlo Foldi 6, Cadore, Milan",2,64m²,1,"€ 480,000",https://www.immobiliare.it/en/annunci/108230739/
16,2023-12-29,"2-room flat via Carlo Botta, Porta Romana - Medaglie d'Oro, Milan",2,40m²,1,"€ 225,000",https://www.immobiliare.it/en/annunci/108234033/
17,2023-12-29,"2-room flat via Morosini, Montenero, Milan",2,81m²,1,"€ 590,000",https://www.immobiliare.it/en/annunci/108215535/
18,2023-12-29,"Loft via Lodovico Muratori 55, Porta Romana - Medaglie d'Oro, Milan",2,51m²,1,"€ 295,000",https://www.immobiliare.it/en/annunci/108207411/
