,description,rooms,m2,bathrooms,price,links
0,"Apartment via MAURO MACCHI  26, Centrale, Milan",5,172m²,2,"€ 890,000",https://www.immobiliare.it/en/annunci/108317141/
1,"Apartment via Adige, Porta Romana - Medaglie d'Oro, Milan",5,283m²,3+,"€ 1,690,000",https://www.immobiliare.it/en/annunci/108317131/
2,"Attic via Castelfidardo, Moscova, Milan",2,49m²,1,"€ 345,000",https://www.immobiliare.it/en/annunci/108319231/
3,"3-room flat via Vigevano 43, Navigli - Darsena, Milan",3,109m²,1,"€ 560,000",https://www.immobiliare.it/en/annunci/108316969/
4,"2-room flat via Muzio Attendolo detto Sforza 13, Vigentino - Fatima, Milan",2,61m²,1,"€ 215,000",https://www.immobiliare.it/en/annunci/108315965/
5,"3-room flat via Francesco Caracciolo, Ghisolfa - Mac Mahon, Milan",3,90m²,2,"€ 535,000",https://www.immobiliare.it/en/annunci/108319111/
6,"2-room flat via Noto 7, Vigentino - Fatima, Milan",2,55m²,2,"€ 265,000",https://www.immobiliare.it/en/annunci/108316889/
7,"2-room flat via Matteo Civitali 46, San Siro, Milan",2,63m²,1,"€ 232,000",https://www.immobiliare.it/en/annunci/108317321/
8,"2-room flat via Matteo Civitali 46, San Siro, Milan",2,55m²,1,"€ 219,000",https://www.immobiliare.it/en/annunci/108317309/
9,"Apartment via San Martino 15, Ticinese, Milan",5+,172m²,3,"€ 3,090,000",https://www.immobiliare.it/en/annunci/108315339/
10,"Apartment via San Francesco d'Assisi, Ticinese, Milan",5+,161m²,2,"€ 1,890,000",https://www.immobiliare.it/en/annunci/108316555/
11,"3-room flat via Muzio Attendolo detto Sforza 13, Vigentino - Fatima, Milan",3,74m²,1,"€ 253,000",https://www.immobiliare.it/en/annunci/108315361/
12,"2-room flat via Muzio Attendolo detto Sforza 13, Vigentino - Fatima, Milan",2,59m²,1,"€ 195,000",https://www.immobiliare.it/en/annunci/108314731/
13,"Apartment at auction via Carlo Imbonati 62/2, Milan",2,04/05/2024,70m²,"from € 315,740.00",https://www.immobiliare.it/en/annunci/108316963/
14,"2-room flat viale Umbria 58, Martini - Insubria, Milan",2,42m²,1,"€ 315,000",https://www.immobiliare.it/en/annunci/108316261/
15,"2-room flat viale Duilio 6, Sempione, Milan",2,65m²,1,"€ 450,000",https://www.immobiliare.it/en/annunci/108320977/
16,"4-room flat Alzaia Naviglio Pavese 260, Cantalupa - San Paolo, Milan",4,140m²,2,"€ 620,000",https://www.immobiliare.it/en/annunci/108317257/
17,"2-room flat corso Lodi 59, Lodi - Brenta, Milan",2,65m²,1,"€ 490,000",https://www.immobiliare.it/en/annunci/108321501/
18,"Apartment via Generale Gustavo Fara, Centrale, Milan",5,200m²,2,"€ 1,180,000",https://www.immobiliare.it/en/annunci/108321581/
19,"Studio via San Dionigi 4, Corvetto, Milan",1,20m²,1,"€ 98,000",https://www.immobiliare.it/en/annunci/108318453/
20,"Studio viale Tibaldi 14, Pezzotti - Meda, Milan",1,77m²,2,"€ 569,000",https://www.immobiliare.it/en/annunci/108320717/
21,"Apartment at auction via Imola 17, Milan",3,02/06/2024,72m²,"from € 150,000.00",https://www.immobiliare.it/en/annunci/108318493/
22,"Studio via Melchiorre Gioia 41, Melchiorre Gioia, Milan",1,40m²,1,"€ 349,000",https://www.immobiliare.it/en/annunci/108322983/
